3.99 real         1.38 user         1.19 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.07 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.09 real         0.04 user         0.05 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.07 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.07 real         0.03 user         0.03 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.04 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
0.08 real         0.03 user         0.04 sys
