72.85 real         3.98 user         5.20 sys
2.57 real         0.61 user         1.06 sys
2.71 real         0.66 user         1.14 sys
2.11 real         0.56 user         0.90 sys
2.27 real         0.61 user         1.03 sys
2.47 real         0.56 user         0.92 sys
2.34 real         0.60 user         1.03 sys
2.27 real         0.58 user         0.98 sys
2.47 real         0.59 user         1.00 sys
2.36 real         0.57 user         0.95 sys
2.27 real         0.56 user         0.92 sys
2.42 real         0.60 user         1.01 sys
2.24 real         0.59 user         1.02 sys
2.53 real         0.63 user         1.12 sys
2.85 real         0.69 user         1.24 sys
2.22 real         0.57 user         0.96 sys
2.49 real         0.61 user         1.04 sys
2.41 real         0.59 user         1.00 sys
2.32 real         0.58 user         0.97 sys
2.37 real         0.61 user         1.05 sys
2.20 real         0.57 user         0.94 sys
2.16 real         0.57 user         0.95 sys
2.46 real         0.60 user         1.04 sys
2.42 real         0.57 user         0.94 sys
2.41 real         0.58 user         1.01 sys
2.34 real         0.59 user         1.02 sys
2.26 real         0.56 user         0.93 sys
2.31 real         0.61 user         1.05 sys
2.25 real         0.58 user         0.97 sys
2.17 real         0.58 user         0.97 sys
2.51 real         0.62 user         1.13 sys
2.49 real         0.64 user         1.15 sys
2.11 real         0.56 user         0.91 sys
2.26 real         0.55 user         0.91 sys
2.32 real         0.55 user         0.90 sys
2.31 real         0.56 user         0.90 sys
2.27 real         0.56 user         0.93 sys
2.11 real         0.55 user         0.91 sys
2.21 real         0.55 user         0.91 sys
2.59 real         0.56 user         0.92 sys
2.26 real         0.57 user         0.95 sys
2.27 real         0.57 user         0.96 sys
2.30 real         0.56 user         0.92 sys
2.26 real         0.59 user         1.02 sys
2.86 real         0.59 user         1.03 sys
2.44 real         0.59 user         0.98 sys
2.41 real         0.59 user         1.00 sys
2.20 real         0.56 user         0.91 sys
2.15 real         0.57 user         0.94 sys
2.16 real         0.56 user         0.91 sys
2.11 real         0.55 user         0.88 sys
